BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by Landseair Real Estate Group,Co-op,130000,3,1,422.0,Jamaica,"164-20 Highland Ave Unit 8WJamaica, NY 11432",New York,Queens County,Queens,40.7102499,-73.79985
Brokered by Brown Harris Stevens,Townhouse,2560000,13,4,2184.207862,Brooklyn,"413 Greene Ave Unit TownhouseBrooklyn, NY 11216",United States,New York,Kings County,40.6882331,-73.9543243
Brokered by Brown Harris Stevens - 100 Seventh Avenue,Townhouse,3500000,7,4,2184.207862,Manhattan,"2115 Fifth Ave Unit TownhouseManhattan, NY 10035",United States,New York,New York County,40.8092578,-73.9398282
Brokered by Corcoran Brooklyn Heights,Condo,1049000,3,1,897.0,Brooklyn,"85 N 3rd St Apt 504Brooklyn, NY 11249",New York,Kings County,Brooklyn,40.7172132,-73.9622559
Brokered by Serhant,Condo,9995000,3,4,2950.0,New York,"10 Sullivan St Unit 10ANew York, NY 10012",New York,New York County,New York,40.724558,-74.004173
"Brokered by ABC REAL ESTATE SERVICES, INC.",House,750000,4,3,1806.0,Brooklyn,"762 E 37th StBrooklyn, NY 11210",United States,New York,Kings County,40.6383047,-73.9417504
Brokered by Best Find Realty,Co-op,219000,1,1,2184.207862,Flushing,"190-05 39 Ave Unit 142Flushing, NY 11358",New York,Queens County,Queens,40.7617299,-73.79176
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op,935000,1,1,2184.207862,Manhattan,"781 Fifth Ave Unit 407Manhattan, NY 10022",New York,New York County,New York,40.7643563,-73.9727544
Brokered by eXp Realty NYC,Contingent,750000,6,2,1476.0,Brooklyn,"1363 Sutter AveBrooklyn, NY 11208",United States,New York,Kings County,40.6735859,-73.8674854
"Brokered by Homes R Us Realty of NY, Inc.",House,1080000,4,3,1824.0,Staten Island,"115 Rome AveStaten Island, NY 10304",United States,New York,Richmond County,40.6020615,-74.093461
Brokered by AmeriHomes Realty,House,2888888,5,4,5000.0,Brooklyn,"1217 Doone CtBrooklyn, NY 11235",United States,New York,Kings County,40.590624,-73.9581347
Brokered by Bond New York- Columbus Circle,Co-op,860000,3,2,1118.0,New York,"300 W 145th St Apt 2PNew York, NY 10039",New York,New York County,New York,40.822922,-73.9426429
Brokered by RE MAX Edge,Multi-family home,1180000,4,5,3100.0,Corona,"47-19 99th StCorona, NY 11368",United States,New York,Queens County,40.744266,-73.862867
Brokered by Keller Williams Realty Greater Nassau,Co-op,235000,1,1,675.0,Old Mill Basin,"2011 E 56th St Unit 57BOld Mill Basin, NY 11234",New York,Kings County,Brooklyn,40.6136942,-73.920504
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op,4650000,4,4,2184.207862,New York,"980 Fifth Ave Apt 8BNew York, NY 10075",New York,New York County,New York,40.7770753,-73.963133
Brokered by RITZ REALTY NY CORP.,Condo,680000,2,1,640.0,Brooklyn,"4016 7th Ave Unit 2RBrooklyn, NY 11232",New York,Kings County,Brooklyn,40.6478661,-74.0006098
Brokered by Brown Harris Stevens,Townhouse,14995000,3,0,2184.207862,Manhattan,"50 W 86th St Unit TownhouseManhattan, NY 10024",United States,New York,New York County,40.786046,-73.9718342
Brokered by Douglas Elliman - 575 Madison Ave,Co-op,595000,1,1,2184.207862,New York,"1199 Park Ave Apt 6JNew York, NY 10128",New York County,New York,Manhattan,40.7851736,-73.9527438
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op,1200000,1,1,2184.207862,New York,"3 E 77th St Apt 14DNew York, NY 10075",New York,New York County,New York,40.7754782,-73.9639697
Brokered by BRISMAN REALTY,House,849999,4,2,1842.0,Brooklyn,"906 E 16th StBrooklyn, NY 11230",United States,New York,Kings County,40.6274471,-73.961091
Brokered by East Coast REALTORS Inc,House,1300000,5,3,1750.0,Flushing,"173-22 Effington AveFlushing, NY 11358",United States,New York,Queens County,40.7496294,-73.7938635
Brokered by Douglas Elliman - 575 Madison Ave,Condo,2175000,2,2,1666.0,New York,"243 W 60th St Apt 4ANew York, NY 10023",New York,New York County,New York,40.771979,-73.9889567
NoBroker,Condo,2795000,3,3,1689.0,Manhattan,"555 W 59th St Apt 20BManhattan, NY 10019",New York,New York County,New York,40.7715251,-73.9895943
Brokered by Donna Demkowicz R E Corp,Townhouse,979000,3,2,2184.207862,Maspeth,"53-70 64th StMaspeth, NY 11378",United States,New York,Queens County,40.7295006,-73.9014268
Brokered by CENTURY 21 MK Realty,Pending,589000,4,2,2235.0,Far Rockaway,"1118 Bay 24th StFar Rockaway, NY 11691",United States,New York,Queens County,40.6054311,-73.7620238
Brokered by COMPASS,Co-op,1995000,3,2,2184.207862,Manhattan,"11 Riverside Dr Apt 10MWManhattan, NY 10023",New York,New York County,New York,40.7809028,-73.9846443
Brokered by Homemax Realty Inc,Condo,679000,2,2,879.0,Brooklyn,"511 68th St Apt 1ABrooklyn, NY 11220",New York,Kings County,Brooklyn,40.6341182,-74.0202284
Brokered by Property Professionals Realty,Co-op,263000,2,1,2184.207862,Queens Village,"221-24 Manor Rd Unit UpperQueens Village, NY 11427",United States,New York,Queens County,40.7320884,-73.7432042
Brokered by Coldwell Banker Warburg,Co-op,7250000,4,4,2184.207862,New York,"101 Central Park W Units 11 & 12GNew York, NY 10023",New York,New York County,New York,40.7753983,-73.9769193
Brokered by Joachim Realty Llc,Co-op,169999,1,1,750.0,Jamaica,"87-46 Chelsea St Unit 6EJamaica, NY 11432",New York,Queens County,Queens,40.714763,-73.776178
Brokered by Winzone Realty Inc,Co-op,304900,1,1,850.0,Forest Hills,"68-63 108th St Unit 3DForest Hills, NY 11375",New York,Queens County,Queens,40.7254109,-73.8453358
Brokered by Bond New York- Columbus Circle,Condo,600000,1,1,600.0,Manhattan,"1810 Third Ave Unit A9Manhattan, NY 10029",New York,New York County,New York,40.7881977,-73.947385
Brokered by RE MAX Edge,House,999000,7,4,2000.0,Brooklyn,"33 Avenue XBrooklyn, NY 11223",United States,New York,Kings County,40.58955,-73.9824749
Brokered by CONTINENT REALTY LLC,Co-op,279000,2,1,1000.0,Brooklyn,"2719 E 28th St Apt 2BBrooklyn, NY 11235",New York,Kings County,Brooklyn,40.5864616,-73.9410656
Brokered by The Agency,Co-op,1250000,1,1,1300.0,New York,"470 Park Ave Apt 6ANew York, NY 10022",New York,New York County,New York,40.762236,-73.9706084
Brokered by EXCLUSIVE PROPERTIES REALTY INC,Co-op,179000,1,1,2184.207862,Brooklyn,"2239 Troy Ave Unit C6Brooklyn, NY 11234",New York,Kings County,Brooklyn,40.6192487,-73.9324
Brokered by Master Associates Inc.,House,1299800,4,4,2600.0,Staten Island,"41 Milburn StStaten Island, NY 10306",10306,United States,New York,40.5774818,-74.1262228
Brokered by Chous Realty Group Inc,Co-op,268000,2,1,950.0,Flushing,"141-16 25 Rd Unit 1DFlushing, NY 11354",New York,Queens County,Queens,40.7757085,-73.8271079
Brokered by Re/Max In The City,Co-op,140000,3,1,507.0,Bronx,"4295 Webster Ave Apt 1KBronx, NY 10470",New York,Bronx County,The Bronx,40.8992144,-73.8624103
Brokered by Dove Real Estate Corp.,Multi-family home,2100000,3,1,6862.0,Staten Island,"32-34 36 Monroe AveStaten Island, NY 10301",United States,New York,Richmond County,40.6407112,-74.0796848
Brokered by Keller Williams Rlty Landmark,Co-op,293000,1,1,649.0,Jackson Heights,"35-11 85th St Unit 2CJackson Heights, NY 11372",New York,Queens County,Queens,40.7520799,-73.88188
Brokered by COMPASS,Condo,649000,1,1,665.0,Manhattan,"145 W 129th St Apt 2Manhattan, NY 10027",New York,New York County,New York,40.811152,-73.9451209
Brokered by New York Residential R E,Co-op,298888,1,1,700.0,Beechhurst,"160-15 Powells Cove Blvd Unit B104Beechhurst, NY 11357",New York,Queens County,Queens,40.7942899,-73.80139
Brokered by Corcoran East Side,Co-op,1650000,3,3,1800.0,New York,"123 W 86th St # GNew York, NY 10024",United States,New York,New York County,40.7870704,-73.9729362
Brokered by RE MAX Edge,Condo,538000,2,1,1105.0,Brooklyn,"2546 Stillwell Ave Apt 3BBrooklyn, NY 11223",United States,New York,Kings County,40.5857519,-73.9835309
"Brokered by Fillmore Real Estate Fusion Team, INC.",Co-op,990000,1,1,850.0,New York,"24 W 55th St Ph DNew York, NY 10019",United States,New York,New York County,40.7615992,-73.9757944
Brokered by Hauseit LLC - Hauseit LLC,Condo,4145000,2,2,1593.0,New York,"111 Murray St Apt 17ANew York, NY 10007",New York,New York County,New York,40.715351,-74.0128441
Brokered by COMPASS,Townhouse,2545000,6,2,3277.0,Brooklyn,"303 Whitman DrBrooklyn, NY 11234",United States,New York,Kings County,40.6065609,-73.906028
Brokered by BESMATCH REAL ESTATE,Co-op,99000,1,1,850.0,Bronx,"1185 Anderson Ave Apt 2CBronx, NY 10452",New York,Bronx County,The Bronx,40.8366623,-73.9239586
"Brokered by Robert DeFalco Realty, Inc.",Multi-family home,999888,3,4,2016.0,Staten Island,"38 Edgar TerStaten Island, NY 10301",United States,New York,Richmond County,40.6351047,-74.0818972
Brokered by COMPASS,Condo,15500000,4,4,4064.0,Manhattan,"1 Central Park S Unit 1801Manhattan, NY 10019",New York,New York County,New York,40.7646573,-73.9744439
Brokered by COMPASS,Co-op,395000,3,1,2184.207862,Manhattan,"200 E End Ave Apt 3KManhattan, NY 10128",New York,New York County,New York,40.7772322,-73.9435595
Brokered by KELLER WILLIAMS REALTY LANDMARK II,House,999000,4,1,2184.207862,Brooklyn,"18 Vermont CtBrooklyn, NY 11207",United States,New York,Kings County,40.6830674,-73.8945769
Brokered by Douglas Elliman - 936 Broadway,Co-op,3125000,2,2,1804.0,New York,"121 Mercer St Fl 4New York, NY 10012",New York,New York County,New York,40.7241512,-73.9992064
Brokered by Corcoran Park Slope,Co-op,2995000,3,2,2184.207862,Brooklyn,"35 Prospect Park W Apt 10BBrooklyn, NY 11215",New York,Kings County,Brooklyn,40.6703253,-73.9724152
Brokered by Corcoran Park Avenue South,Condo,570000,3,1,515.0,New York,"250 S End Ave Apt 12FNew York, NY 10280",New York,New York County,New York,40.7097702,-74.0162823
Brokered by Corcoran East Side,Co-op,599000,3,1,868.0,New York,"400 W End Ave Apt 2ANew York, NY 10024",New York,New York County,New York,40.7844489,-73.9807532
Brokered by RE MAX Edge,Co-op,239000,2,1,950.0,Brooklyn,"2547 W 2nd St Apt 1HBrooklyn, NY 11223",New York,Kings County,Brooklyn,40.5871568,-73.9709274
Brokered by COMPASS,Townhouse,5000000,3,2,2569.0,Manhattan,"165 Chrystie St Unit ThManhattan, NY 10002",United States,New York,New York County,40.720727,-73.9928511
Brokered by Yoreevo Llc,Co-op,950000,2,2,2184.207862,New York,"168 E 90th St Apt 3WNew York, NY 10128",New York,New York County,New York,40.781483,-73.952964
Brokered by JABOUR REALTY COMPANY,Pending,1099000,3,2,1472.0,Brooklyn,"32 Oliver StBrooklyn, NY 11209",United States,New York,Kings County,40.6193503,-74.0388023
Brokered by Serhant,Condo,1950000,1,2,1117.0,New York,"345 W 14th St Apt 3ENew York, NY 10014",New York,New York County,New York,40.7408927,-74.0044465
"Brokered by Dom Realty, Inc",Multi-family home,1085000,3,8,3480.0,Brooklyn,"2764 W 15th StBrooklyn, NY 11224",United States,New York,Kings County,40.5801478,-73.9835836
Brokered by SOUTHSIDE REALTY GROUP LLC,House,999900,8,3,2184.207862,Bronx,"2066 Ryer AveBronx, NY 10457",United States,New York,Bronx County,40.8523239,-73.900732
Brokered by Corcoran West Side,Co-op,759000,2,2,2184.207862,Bronx,"3777 Independence Ave Apt 16MBronx, NY 10463",New York,Bronx County,The Bronx,40.8890444,-73.9137075
Brokered by Douglas Elliman - 280 Metropolitan,Pending,799000,2,2,850.0,Brooklyn,"622 Madison St Unit TownhouseBrooklyn, NY 11221",United States,New York,Kings County,40.6864817,-73.9334333
Brokered by Daxi Home Realty Management,Multi-family home,928500,5,4,2184.207862,College Point,"121-16 Keel CtCollege Point, NY 11356",United States,New York,Queens County,40.7933742,-73.8458392
Brokered by eXp Realty NYC,Contingent,1150000,2,1,1100.0,Brooklyn,"2 Grace Ct Apt 3NBrooklyn, NY 11201",New York,Kings County,Brooklyn,40.6944364,-73.9986563
Brokered by BERGEN BASIN REALTY,Co-op,349000,2,1,900.0,Brooklyn,"2928 W 5th St Apt 4GBrooklyn, NY 11224",New York,Kings County,Brooklyn,40.5781785,-73.9733314
Brokered by Carollo Real Estate Inc,Multi-family home,1400000,6,2,2184.207862,Whitestone,"143-35 22nd RdWhitestone, NY 11357",United States,New York,Queens County,40.7788549,-73.8246986
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse,6495000,6,6,5232.0,New York,"117 W 85th StNew York, NY 10024",United States,New York,New York County,40.7863645,-73.9735331
Brokered by Coldwell Banker American Homes,Multi-family home,1800000,11,6,5000.0,Elmhurst,"42-22 82nd St Unit 6Elmhurst, NY 11373",New York,Queens County,Queens,40.7422281,-73.8832744
Brokered by Douglas Elliman - 575 Madison Ave,Condo,1450000,3,2,1117.0,New York,"333 E 30th St Apt 8LNew York, NY 10016",New York,New York County,New York,40.7420749,-73.9757973
Brokered by COMPASS,Co-op,599000,3,1,2184.207862,Manhattan,"320 E 42nd St Apt 1901Manhattan, NY 10017",New York,New York County,New York,40.7494678,-73.9717468
Brokered by Staten Island Premiere Properties,Contingent,898888,3,3,2080.0,Staten Island,"72 Middle Loop RdStaten Island, NY 10308",United States,New York,Richmond County,40.5550173,-74.163012
Brokered by Douglas Elliman - 575 Madison Ave,Condo,2980000,3,3,1756.0,New York,"1280 Fifth Ave Ph BNew York, NY 10029",United States,New York,New York County,40.7961886,-73.949116
Brokered by Scope Realty Bx,Multi-family home,829000,9,3,2276.0,Bronx,"1378 Bristow StBronx, NY 10459",United States,New York,Bronx County,40.8325102,-73.8947147
"Brokered by Garfield, Leslie J. & Co., Inc.",Townhouse,15850000,5,6,2184.207862,New York,"15 E 93rd StNew York, NY 10128",United States,New York,New York County,40.7857744,-73.9562222
Brokered by COMPASS,Co-op,945000,2,1,2184.207862,Manhattan,"455 E 51st St Unit 2DManhattan, NY 10022",New York,New York County,New York,40.7540096,-73.9637466
Brokered by ACCS - Access Property Group,Co-op,389000,1,1,2184.207862,New York,"60 Cooper St Apt 5BNew York, NY 10034",New York,New York County,New York,40.8683018,-73.9229016
Brokered by EXP Realty,Co-op,185000,3,1,400.0,Forest Hills,"67-25 Clyde St Unit 5JForest Hills, NY 11375",New York,Queens County,Queens,40.722253,-73.855654
Brokered by Rk Capital Group Llc,Condo,568000,1,1,2184.207862,Forest Hills,"69-45 108th St Unit 2AForest Hills, NY 11375",New York,Queens County,Queens,40.7241743,-73.8448471
Brokered by Sotheby's International Realty - Downtown Manhattan,Condo,950000,1,1,2184.207862,New York,"29 W 65th St Apt 2FNew York, NY 10023",New York County,New York,Manhattan,40.7727634,-73.9809139
Brokered by Serhant,Condo,2000000,2,2,1441.0,Brooklyn,"50 Bridge Park Dr Apt 3DBrooklyn, NY 11201",New York,Kings County,Brooklyn,40.692916,-74.0008815
Brokered by Floral Homes Inc,Multi-family home,1069000,6,5,2184.207862,Jamaica,"120-40 144 StJamaica, NY 11436",United States,New York,Queens County,40.6755971,-73.7952881
Brokered by Keller Williams Legendary,House,599999,3,2,2184.207862,Brooklyn,"968 Schenectady AveBrooklyn, NY 11203",United States,New York,Kings County,40.6494096,-73.9332856
Brokered by Corcoran East Side,Condo,7600000,4,4,3216.0,New York,"100 Barclay St Apt 20CNew York, NY 10007",New York,New York County,New York,40.7139639,-74.0127212
Brokered by Winzone Realty Inc,Co-op,248000,1,1,2184.207862,Fresh Meadows,"196-30 67 Ave Unit 2FLFresh Meadows, NY 11365",New York,Queens County,Queens,40.7383072,-73.7776864
Brokered by REAL NEW YORK - Chelsea,Condo,575000,1,1,1073.0,New York,"456 W 167th St Apt 6GNew York, NY 10032",New York,New York County,New York,40.8387144,-73.9369924
Brokered by Howard Hanna | Rand Realty,Co-op,350000,2,1,850.0,New York,"2440 Amsterdam Ave Apt 2INew York, NY 10033",New York,New York County,New York,40.8485417,-73.930871
Brokered by Corcoran Long Island City,Condo,695000,3,2,704.0,Brooklyn,"888 Fulton St Apt 3ABrooklyn, NY 11238",New York,Kings County,Brooklyn,40.6829851,-73.9656007
Brokered by Douglas Elliman - Bayside,House,875000,4,2,1600.0,Brooklyn,"2420 Cortelyou RdBrooklyn, NY 11226",United States,New York,Kings County,40.6440698,-73.9539046
Brokered by La Rosa Realty New York Llc,Pending,119000,3,1,2184.207862,Elmhurst,"86-16 60th Ave Unit 1CElmhurst, NY 11373",New York,Queens County,Queens,40.7306154,-73.8731934
Brokered by COMPASS,Townhouse,4000000,6,4,5854.0,Brooklyn,"62 3rd StBrooklyn, NY 11231",United States,New York,Kings County,40.6777386,-73.9939495
Brokered by COMPASS,Co-op,195000,3,1,2184.207862,Queens,"90-10 34th Ave Unit 2NDFLLQueens, NY 11372",United States,New York,Queens County,40.754307,-73.8769604
"Brokered by BMB Living, Inc.",Co-op,410000,3,1,766.0,New York,"42 W 138th St Apt 31New York, NY 10037",New York,New York County,New York,40.815359,-73.9374734
Brokered by COMPASS,Townhouse,699000,4,2,2184.207862,Brooklyn,"632 E 52nd StBrooklyn, NY 11203",United States,New York,Kings County,40.6450331,-73.9279337
Brokered by Real Broker NY LLC,House,699999,3,2,2184.207862,Bronx,"902 Harding ParkBronx, NY 10473",United States,New York,Bronx County,40.8070672,-73.8579727
Brokered by Signature Premier Properties,Multi-family home,915000,6,5,3096.0,Bronx,"1857 Holland AveBronx, NY 10462",United States,New York,Bronx County,40.8471618,-73.8650964
Brokered by COMPASS,Co-op,399000,1,1,2184.207862,Queens,"35-20 82nd St Unit 32BQueens, NY 11372",New York,Queens County,Queens,40.7517899,-73.88467
Brokered by Douglas Elliman  -111 Fifth Ave,Co-op,995000,2,1,1000.0,New York,"303 W 66th St Apt 20DWNew York, NY 10023",New York,New York County,New York,40.776554,-73.9876401
Brokered by COMPASS,Co-op,535000,2,1,1000.0,Astoria,"33-52 Crescent St Unit 7CAstoria, NY 11106",New York,Queens County,Queens,40.7616957,-73.9304941
Brokered by Remax Edge - RE/MAX EDGE,Co-op,429000,1,1,575.0,Brooklyn,"195 Willoughby Ave Apt 1610Brooklyn, NY 11205",New York,Kings County,Brooklyn,40.692675,-73.96429
Brokered by Corcoran Park Slope,House,2195000,3,4,2184.207862,Brooklyn,"503 4th AveBrooklyn, NY 11215",United States,New York,Kings County,40.6679746,-73.9903952
Brokered by E Realty International Corp,Multi-family home,1690000,7,7,4600.0,Corona,"56-09 Van Cleef StCorona, NY 11368",United States,New York,Queens County,40.74073,-73.852058
Brokered by JM Properties,Multi-family home,1699999,4,3,2160.0,Brooklyn,"23 Bay 7th StBrooklyn, NY 11228",United States,New York,Kings County,40.6116673,-74.0113637
"Brokered by GOOD WAY PROPERTIES, CORP.",Co-op,235000,1,1,800.0,Brooklyn,"2675 Ocean Ave Apt 4ABrooklyn, NY 11229",New York,Kings County,Brooklyn,40.595967,-73.9504018
Brokered by Jm Properties,Contingent,984900,3,5,2532.0,Staten Island,"116 Taylor StStaten Island, NY 10310",10310,United States,New York,40.6360373,-74.1236718
Brokered by Corcoran Bedford Stuyvesant,Condo,899000,2,1,1010.0,Brooklyn,"568 Saint Marks Ave Apt 3ABrooklyn, NY 11216",New York,Kings County,Brooklyn,40.6756382,-73.9555242
Brokered by Laffey Real Estate,Co-op,269999,1,1,2184.207862,Bellerose,"251-38 71st Ave Unit 80BBellerose, NY 11426",New York,Queens County,Queens,40.7522899,-73.72315
Brokered by Corcoran Bedford Stuyvesant,Multi-family home,1350000,6,2,2184.207862,Brooklyn,"1179 Lincoln PlBrooklyn, NY 11213",United States,New York,Kings County,40.6702558,-73.9375206
Brokered by CENTURY 21 Achievers,House,735000,3,2,1600.0,Brooklyn,"894 E 38th StBrooklyn, NY 11210",United States,New York,Kings County,40.6334425,-73.9402186
Brokered by Ideal Properties Realty,House,1499000,3,2,2100.0,Brooklyn,"1813 E 24th StBrooklyn, NY 11229",United States,New York,Kings County,40.6063993,-73.9485994
Brokered by Buy Rite Home Sales Inc,Multi-family home,899999,5,3,1440.0,East Elmhurst,"30-33 93rd StEast Elmhurst, NY 11369",United States,New York,Queens County,40.7604667,-73.8755356
Brokered by Corcoran Westside Columbus,Condo,900000,2,2,951.0,New York,"77 E 110th St Apt 5BNew York, NY 10029",New York,New York County,New York,40.7958546,-73.9464985
Brokered by E House Realty & Mgt. Inc.,House,629900,3,2,1332.0,Staten Island,"184 Cannon AveStaten Island, NY 10314",United States,New York,Richmond County,40.5939996,-74.1910619
Brokered by RE MAX Real Estate Professionals,Co-op,280000,1,1,650.0,Brooklyn,"1967 65th St Apt 2EBrooklyn, NY 11204",New York,Kings County,Brooklyn,40.616988,-73.986133
Brokered by COMPASS,Townhouse,1999000,5,2,3100.0,Brooklyn,"468 Marion StBrooklyn, NY 11233",United States,New York,Kings County,40.6816466,-73.9105641
Brokered by COMPASS,Condo,5100000,2,2,1676.0,Manhattan,"1 Central Park S Unit 606Manhattan, NY 10019",New York,New York County,New York,40.7691094,-73.98162
Brokered by City Connections Realty,Condo,8500000,3,3,2080.0,New York,"15 W 63rd St Apt 21ANew York, NY 10023",New York,New York County,New York,40.7710757,-73.9809771
Brokered by RE MAX Boutique Realty,Condo,1075000,3,4,2740.0,Bronx,"4 Marisa Ct Unit 4ABronx, NY 10465",New York,Bronx County,The Bronx,40.8125317,-73.8239933
Brokered by COMPASS,Condo,950000,3,1,660.0,Manhattan,"425 W 50th St Apt 12BManhattan, NY 10019",New York,New York County,New York,40.7641461,-73.9901764
Brokered by COMPASS,Co-op,875000,2,2,1275.0,Brooklyn,"9201 Shore Rd Apt B301Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6206952,-74.0402708
Brokered by Century 21 AA Realty,House,485000,2,2,816.0,Bronx,"1605 Purdy StBronx, NY 10462",United States,New York,Bronx County,40.8392076,-73.8539325
Brokered by E Realty International Corp,Condo,598000,1,1,663.0,Flushing,"132-36 Pople Ave Unit 3EFlushing, NY 11355",New York,Queens County,Queens,40.7533111,-73.8312005
Brokered by PULLINI REALTY CORP.,House,2999000,4,2,1732.0,Brooklyn,"1718 63rd StBrooklyn, NY 11204",United States,New York,Kings County,40.6212043,-73.9908884
Brokered by City Connections Realty,Co-op,600000,3,1,2184.207862,New York,"201 W 21st St Apt 9ANew York, NY 10011",New York,New York County,New York,40.7430502,-73.9967075
Brokered by Platinum Plus Realty,Co-op,355000,1,1,2184.207862,Rego Park,"61-25 97th St Unit 10ERego Park, NY 11374",New York,Queens County,Queens,40.7336463,-73.8618276
Brokered by EXIT REALTY FIRST CHOICE,Townhouse,889000,2,1,1056.0,Forest Hills,"102-57 62nd DrForest Hills, NY 11375",United States,New York,Queens County,40.7351177,-73.8536109
Brokered by RE/MAX Luxe,Multi-family home,650000,3,3,2184.207862,Saint Albans,"110-02 203rd StSaint Albans, NY 11412",United States,New York,Queens County,40.7051893,-73.7542415
Brokered by Oxford Property Group,Co-op,629000,2,1,2184.207862,New York,"330 E 94th St Apt 3ANew York, NY 10128",New York,New York County,New York,40.7822297,-73.9466255
Brokered by Douglas Elliman - Bayside,Pending,970000,3,2,2184.207862,Little Neck,"47-08 248th StLittle Neck, NY 11362",United States,New York,Queens County,40.764944,-73.738236
NoBroker,Co-op,515000,2,2,1200.0,Brooklyn,"3060 Ocean Ave Apt 6PBrooklyn, NY 11235",New York,Kings County,Brooklyn,40.5866451,-73.949452
"Brokered by NEUHAUS REALTY, INC.",House,1600000,4,4,3150.0,Staten Island,"782 Ionia AveStaten Island, NY 10312",United States,New York,Richmond County,40.5365056,-74.1988326
Brokered by Exit Realty Team,Multi-family home,1900000,6,4,2000.0,Brooklyn,"751 58th StBrooklyn, NY 11220",United States,New York,Kings County,40.6371891,-74.0089766
Brokered by Douglas Elliman - 575 Madison Ave,Co-op,3395000,2,2,1800.0,New York,"399 Washington St Fl 4New York, NY 10013",New York,New York County,New York,40.7217139,-74.0103804
Brokered by RE MAX Real Estate Professionals,Multi-family home,1795000,5,3,1800.0,Brooklyn,"166 12th StBrooklyn, NY 11215",United States,New York,Kings County,40.6691888,-73.9919673
Brokered by COMPASS,Co-op,549000,3,1,2184.207862,Manhattan,"60 E 9th St Apt 214Manhattan, NY 10003",New York,New York County,New York,40.7310966,-73.9926682
Brokered by Corcoran SoHo,Condo,6998000,4,4,3000.0,New York,"55 Vestry St Apt 6CNew York, NY 10013",New York,New York County,New York,40.7227325,-74.0101225
Brokered by Fave Realty Inc,Multi-family home,980000,11,3,3210.0,Bronx,"2116 Vyse AveBronx, NY 10460",United States,New York,Bronx County,40.844215,-73.8799388
Brokered by Richmond Homes Real Estate Inc,Multi-family home,1400000,5,4,2250.0,Staten Island,"199 Vineland AveStaten Island, NY 10312",United States,New York,Richmond County,40.5486237,-74.1868168
Brokered by COMPASS,Co-op,750000,3,3,2184.207862,Manhattan,"420 E 51st St Apt 8DManhattan, NY 10022",New York,New York County,New York,40.7540391,-73.9651308
Brokered by RJM Realty Empire Inc.,Land,750000,3,2,2184.207862,Staten Island,"480 Butler BlvdStaten Island, NY 10309",United States,New York,Richmond County,40.5069018,-74.2247039
Brokered by Winzone Realty Inc,Condo,349000,3,1,2184.207862,Sunnyside,"43-33 48 St Unit 4JSunnyside, NY 11104",New York,Queens County,Queens,40.7436341,-73.916415
Brokered by Rise Realty,House,519999,3,2,1440.0,Staten Island,"59 Larkin StStaten Island, NY 10302",United States,New York,Richmond County,40.6396595,-74.1362682
Brokered by RE MAX Elite,Pending,1649000,7,2,3162.0,Brooklyn,"628 56th StBrooklyn, NY 11220",United States,New York,Kings County,40.6398568,-74.0109732
Brokered by Weichert Realtors The Franzese Group,Multi-family home,1750000,7,3,4065.0,Astoria,"2003 49th StAstoria, NY 11105",United States,New York,Queens County,40.7721299,-73.8960008
Brokered by COMPASS,House,868000,3,2,2184.207862,Maspeth,"53-29 72 PlMaspeth, NY 11378",United States,New York,Queens County,40.7303886,-73.8912581
Brokered by New Heights Realty,Co-op,324900,1,1,665.0,New York,"90 Park Terrace Ter E Unit 3ANew York, NY 10034",New York,New York County,New York,40.8709037,-73.9155681
Brokered by City Connections Realty,Condo,870000,1,1,620.0,New York,"347 W 57th St Apt 6BNew York, NY 10019",New York,New York County,New York,40.7681878,-73.9845086
Brokered by Nyc Realty Brokers Llc,Co-op,355000,2,1,1000.0,Brooklyn,"2930 W 5th St Apt 15HBrooklyn, NY 11224",New York,Kings County,Brooklyn,40.5782062,-73.973315
Brokered by Corcoran West Side,Condo,10900000,5,6,3633.0,New York,"39 W 23rd St # NNew York, NY 10010",United States,New York,New York County,40.7423282,-73.9911409
Brokered by Brown Harris Stevens - 445 Park Avenue,Pending,375000,1,1,2184.207862,Manhattan,"162 E 2nd St Apt BManhattan, NY 10009",New York,New York County,New York,40.7228235,-73.98509
Brokered by Corcoran Brooklyn Heights,House,6700000,3,2,2184.207862,Staten Island,"450 Front StStaten Island, NY 10304",United States,New York,Richmond County,40.626225,-74.0745645
Brokered by Ilite Realty Inc,Co-op,268800,1,1,725.0,Brooklyn,"303 Avenue P Apt B1Brooklyn, NY 11204",New York,Kings County,Brooklyn,40.6086157,-73.9765291
Brokered by Ashford Homes LLC,Condo,640000,1,1,1022.0,Brooklyn,"1238 63rd St Unit 204Brooklyn, NY 11219",New York,Kings County,Brooklyn,40.6275896,-74.0016198
Brokered by COMPASS,Co-op,2800000,2,2,2184.207862,Manhattan,"1088 Park Ave Unit 15CManhattan, NY 10128",New York,New York County,New York,40.7820603,-73.9562107
