BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,LOCALITY,SUBLOCALITY,LATITUDE,LONGITUDE
Brokered by Sotheby's International Realty - East Side Manhattan Brokerage,Co-op,650000,1,1,2184.207862,New York,"411 E 57th St Apt 16BNew York, NY 10022",New York,New York County,New York,40.7582795,-73.9624506
Brokered by Sold By Bart R E Partners Inc,Co-op,250000,2,1,2184.207862,Woodhaven,"83-55 Woodhaven Blvd Unit 6KWoodhaven, NY 11421",New York,Queens County,Queens,40.700309,-73.8535466
Brokered by Re/Max In The City,Co-op,125000,3,1,600.0,Bronx,"3121 Middletown Rd Apt 1CBronx, NY 10461",New York,Bronx County,The Bronx,40.8455961,-73.8264218
Brokered by COMPASS,Co-op,2200000,3,3,2195.0,Manhattan,"336 Central Park W Apt 3BManhattan, NY 10025",New York,New York County,New York,40.7904197,-73.966175
Brokered by Corcoran East Side,Condo,925000,2,1,2184.207862,New York,"200 Bowery Apt 2CNew York, NY 10012",New York,New York County,New York,40.7213854,-73.9939529
Brokered by Classic Home Sales,House,639000,3,2,2184.207862,Brooklyn,"2072 E 74th StBrooklyn, NY 11234",United States,New York,Kings County,40.6214608,-73.905805
Brokered by Sowae Corp,House,215000,3,2,1509.0,Saint Albans,"114-06 194 StSaint Albans, NY 11412",United States,New York,Queens County,40.6982271,-73.7605874
"Brokered by Tom Crimmins Realty, Ltd.",House,2050000,6,6,5600.0,Staten Island,"254 Flagg PlStaten Island, NY 10304",United States,New York,Richmond County,40.5856353,-74.1068594
Brokered by Jane Mosello Real Estate,Co-op,279000,2,2,1050.0,Bronx,"4320 Van Cortlandt Park E Apt RBronx, NY 10470",United States,New York,Bronx County,40.898666,-73.8738365
Brokered by COMPASS,Condo,785000,2,2,968.0,Brooklyn,"16 Bay 25th St Unit 4ABrooklyn, NY 11214",New York,Kings County,Brooklyn,40.6039146,-73.9980848
Brokered by Ashford Homes,House,669000,3,2,1312.0,Staten Island,"72 Boone StStaten Island, NY 10314",United States,New York,Richmond County,40.6013797,-74.1380964
Brokered by Corcoran SoHo,Multi-family home,3650000,4,4,2880.0,Brooklyn,"35 Joralemon StBrooklyn, NY 11201",United States,New York,Kings County,40.6938815,-73.9983127
Brokered by Vandenberg -The Townhouse Experts,Townhouse,6700000,4,4,3740.0,New York,"51 W 95th StNew York, NY 10025",United States,New York,New York County,40.7918625,-73.9667605
Brokered by Vantage Realty Partners,Multi-family home,681000,6,3,2184.207862,Brooklyn,"694 Ashford StBrooklyn, NY 11207",United States,New York,Kings County,40.6648825,-73.8826911
"Brokered by Robert DeFalco Realty, Inc.",Multi-family home,530000,2,2,1672.0,Staten Island,"87 Murdock PlStaten Island, NY 10303",United States,New York,Richmond County,40.6268626,-74.1476451
Brokered by Corcoran SoHo,Condo,1700000,2,2,1580.0,Brooklyn,"984 Bergen Residence St Apt 1Brooklyn, NY 11216",New York,Kings County,Brooklyn,40.6763522,-73.9543474
Brokered by J. Milo Real Estate Ltd,Co-op,339000,1,1,1085.0,Brooklyn,"9437 Shore Rd Apt C8Brooklyn, NY 11209",New York,Kings County,Brooklyn,40.6171201,-74.0385203
Brokered by Keller Williams Village Sq Rlt,House,800000,3,2,1224.0,Old Mill Basin,"1883 E 53rd StOld Mill Basin, NY 11234",United States,New York,Kings County,40.6125589,-73.9230425
Brokered by Re/Max In The City,Co-op,189000,1,1,700.0,Bronx,"6535 Broadway Apt 1GBronx, NY 10471",New York,Bronx County,The Bronx,40.906568,-73.8968047
Brokered by Brown Harris Stevens - 445 Park Avenue,Co-op,4995000,2,2,2184.207862,Manhattan,"14 E 75th St Unit 9DManhattan, NY 10021",New York,New York County,New York,40.7737635,-73.9644574
"Brokered by Ed Bruno Realty, LLC",Contingent,835000,5,2,2050.0,Staten Island,"393 Guyon AveStaten Island, NY 10306",United States,New York,Richmond County,40.5582716,-74.1160817
Brokered by Douglas Elliman - 575 Madison Ave,House,999999,2,2,1198.0,New York,"333 E 91st St Apt 10BNew York, NY 10128",New York,New York County,New York,40.7803429,-73.947266
Brokered by Commerce Realty Group,Condo,575000,3,2,877.0,Ridgewood,"61-20 71st Ave Unit F2ARidgewood, NY 11385",New York,Queens County,Queens,40.7019793,-73.8942094
Brokered by Corcoran Bedford Stuyvesant,Pending,349750,1,1,2184.207862,Brooklyn,"483 17th St # 2LBrooklyn, NY 11215",New York,Kings County,Brooklyn,40.6585622,-73.9825211
Brokered by Corcoran West Side,Co-op,385000,1,1,2184.207862,New York,"116 Pinehurst Ave Apt B52New York, NY 10033",United States,New York,New York County,40.8522694,-73.939181
Brokered by COMPASS,Townhouse,7950000,4,2,3397.0,Manhattan,"20 Jones StManhattan, NY 10014",United States,New York,New York County,40.7319485,-74.0025061
Brokered by CHIN - Re/Max in The City,Pending,324900,2,2,1100.0,Bronx,"5715 Mosholu Ave Apt 6BBronx, NY 10471",New York,Bronx County,The Bronx,40.9057959,-73.90002
Brokered by Douglas Elliman - 1995 Broadway,Co-op,175000,3,1,2184.207862,Brooklyn,"275 Webster Ave Apt 6GBrooklyn, NY 11230",New York,Kings County,Brooklyn,40.6329634,-73.9709274
