TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,STATE,MAIN_ADDRESS,ADMINISTRATIVE_AREA_LEVEL_2,SUBLOCALITY,LATITUDE,LONGITUDE,AREA_PER_ROOM,BATH_PER_BED,TOTAL_ROOMS,SQFT_PER_BED,BATH_ROOM_DIFF,SIZE_CATEGORY
Multi-family home,14.144095341678627,5,2,2412.0,Brooklyn,"3824 Quentin RdBrooklyn, NY 11234",United States,Kings County,40.6157428,-73.9345355,301.5,0.3333333333333333,7,402.0,-3,Large
Condo,13.171155446333852,3,2,1185.0,Bronx,"170 Mermaid Ln Unit 270Bronx, NY 10473",New York,The Bronx,40.807969,-73.854213,197.5,0.5,5,296.25,-1,Medium
Pending,12.574185427296195,1,2,1213.0,Other,"27110 Grand Central Pkwy Apt 1OFloral Park, NY 11005",New York,Queens,40.7564761,-73.7212008,303.25,1.0,3,606.5,1,Medium
Multi-family home,16.118095750958314,7,8,2184.207862,New York,"35 W 11th StNew York, NY 10011",United States,New York County,40.734814,-73.996305,136.512991375,1.0,15,273.02598275,1,Large
Co-op,12.53897064502647,2,1,2184.207862,Bayside,"73-22 220th St Unit UpperBayside, NY 11364",United States,Queens County,40.7408626,-73.7553116,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Townhouse,16.58778679388529,5,2,2184.207862,New York,"65 Bedford StNew York, NY 10014",United States,New York County,40.7311289,-74.0048678,273.02598275,0.3333333333333333,7,364.0346436666667,-3,Large
Multi-family home,14.430696737594902,3,4,2184.207862,Brooklyn,"6704 21st AveBrooklyn, NY 11204",United States,Kings County,40.6140608,-73.9853215,273.02598275,1.0,7,546.0519655,1,Large
Multi-family home,14.770637698386924,11,6,5088.0,Other,"2061 49th StAstoria, NY 11105",United States,Queens County,40.7709381,-73.8973789,282.6666666666667,0.5,17,424.0,-5,Luxury
Co-op,12.429220196836383,1,1,800.0,Brooklyn,"1250 Ocean Pkwy Apt 3JBrooklyn, NY 11230",New York,Brooklyn,40.6180698,-73.9699744,266.6666666666667,0.5,2,400.0,0,Small
Co-op,14.626441218624949,3,2,2000.0,Brooklyn,"120 Prospect Park W # 2Brooklyn, NY 11215",United States,Kings County,40.665708,-73.976288,333.3333333333333,0.5,5,500.0,-1,Medium
Multi-family home,14.403297778421795,9,7,2184.207862,Other,"23-16 36th StAstoria, NY 11105",United States,Queens County,40.7723063,-73.9110206,128.4828154117647,0.7,16,218.4207862,-2,Large
Co-op,12.765691290604371,3,2,1100.0,Brooklyn,"1200 E 53rd St Apt 4XBrooklyn, NY 11234",New York,Brooklyn,40.6297036,-73.9255951,183.33333333333334,0.5,5,275.0,-1,Medium
House,14.31568020796969,4,3,1452.0,Brooklyn,"927 Hart StBrooklyn, NY 11237",United States,Kings County,40.7039659,-73.9210676,181.5,0.6,7,290.4,-1,Medium
Pending,14.148405690083225,2,2,1028.0,Brooklyn,"357 6th Ave Apt 1Brooklyn, NY 11215",New York,Brooklyn,40.670563,-73.981488,205.6,0.6666666666666666,4,342.6666666666667,0,Medium
House,14.130322027731049,6,3,2184.207862,Jamaica,"85-65 159th StJamaica, NY 11432",United States,Queens County,40.7102471,-73.8049849,218.4207862,0.42857142857142855,9,312.0296945714286,-3,Large
Co-op,12.793862088206213,2,1,2184.207862,New York,"128 W 138th Unit 1INew York, NY 10030",New York,New York,40.8165004,-73.9411037,546.0519655,0.3333333333333333,3,728.0692873333334,-1,Large
Co-op,13.864301674514206,1,1,2184.207862,New York,"1 Fifth Ave Unit 10KNew York, NY 10003",New York County,Other,40.7316673,-73.996478,728.0692873333334,0.5,2,1092.103931,0,Large
